DATAFLOW,LAST UPDATE,freq,unit,operator,procstat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,AL,2021,26,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,AT,2014,9,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,AT,2015,10,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,AT,2016,10,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,AT,2017,14,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,AT,2018,4,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,AT,2019,4,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,AT,2020,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,AT,2021,5,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,BE,2013,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,BE,2014,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,BE,2015,37,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,BE,2016,84,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,BE,2017,108,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,BE,2018,107,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,BE,2019,153,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,BG,2012,14,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,BG,2013,10,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,BG,2014,12,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,BG,2015,9,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,BG,2016,9,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,BG,2018,4,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,BG,2019,2,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,BG,2021,5,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,CY,2012,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,CY,2013,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,CY,2014,4,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,CY,2015,3,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,CY,2016,4,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,CY,2017,2,
