geo,year,Acidified Milk,Bovine Meat,Buffalos Milk,Butter,Cheese,Chicken Meat,Cows Milk,Cream,Drinking Milk,Eggs for consumption,Ewes Milk,Goat Meat,Goats Milk,Honey,Horses-Asses-Mules-Hinnies Meat,Meat of Livestock,Other Dairy Product,Other Meat,Pig Meat,Poultry Meat,Sheep Meat,Total Raw Milk,Cluster
AT,2014,29591.0,0.0,0.0,3586.0,30736.0,0.0,635751.0,4645.0,105738.0,3.911799900000001,0.0,0.0,0.0,0.0,0.0,0.0,2971.0,0.0,0.0,0.0,0.0,443486.0,1
AT,2015,26449.0,0.0,0.0,3793.0,29930.0,0.0,642340.0,5591.0,114411.0,3.88484995,0.0,0.0,0.0,0.0,0.0,0.0,3200.0,0.0,0.0,0.0,0.0,440924.0,1
AT,2016,31950.0,0.0,0.0,3792.0,28312.0,0.0,661688.0,5040.0,120142.0,5.26172295,0.0,0.0,0.0,0.0,0.0,0.0,3174.0,0.0,0.0,0.0,0.0,552389.0,1
AT,2017,32126.0,0.0,0.0,4070.0,30834.0,0.0,0.0,5694.0,130055.0,6.586674599999999,0.0,0.0,0.0,0.0,0.0,0.0,3043.0,0.0,0.0,0.0,0.0,612629.0,1
AT,2018,37354.0,0.0,0.0,4822.0,31836.0,0.0,0.0,7524.0,148563.0,6.8953447,0.0,0.0,0.0,0.0,0.0,0.0,3803.0,0.0,0.0,0.0,0.0,635751.0,1
AT,2019,35801.0,0.0,0.0,4268.0,34314.0,0.0,0.0,8357.0,147684.0,6.674154150000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642340.0,1
AT,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.857862699999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649368.0,1
AT,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.283578999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BE,2016,0.0,918.0,0.0,0.0,0.0,0.0,89375.0,0.0,0.0,4.8582348,0.0,0.0,3053.0,0.0,0.0,5502.0,0.0,0.0,909.0,3252.0,423.0,92429.0,0
BE,2017,0.0,1976.0,0.0,0.0,0.0,0.0,108545.0,0.0,0.0,6.094287,0.0,0.0,3600.0,0.0,0.0,7321.0,0.0,0.0,1189.0,3960.0,196.0,112145.0,0
BE,2018,0.0,2015.0,0.0,0.0,0.0,0.0,116208.0,0.0,0.0,11.39673,0.0,0.0,3869.0,0.0,0.0,8708.0,0.0,0.0,1297.0,4904.0,493.0,120077.0,0
BE,2019,0.0,2207.0,0.0,0.0,0.0,0.0,121225.0,0.0,0.0,12.502248,0.0,0.0,3776.0,0.0,0.0,9601.0,0.0,0.0,1322.0,5525.0,547.0,125000.0,0
BE,2020,0.0,1877.0,0.0,0.0,0.0,0.0,131263.0,0.0,0.0,12.5828814,0.0,0.0,4420.0,0.0,0.0,10364.0,0.0,0.0,1630.0,6295.0,561.0,135683.0,0
BG,2012,55.0,0.0,4.0,0.0,330.0,0.0,0.0,5.0,197.0,0.0,0.0,0.0,0.0,2448.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0
BG,2013,58.0,0.0,0.0,4.0,26.0,0.0,827.0,25.0,226.0,0.0,325.0,0.0,1042.0,1606.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0,2194.0,0
BG,2014,238.0,0.0,0.0,0.0,263.0,0.0,1124.0,5.0,13.0,0.0,380.0,0.0,983.0,1517.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,2486.0,0
BG,2015,191.0,263.0,0.0,1.0,31.0,0.0,5468.0,4.0,99.0,0.0,1455.0,35.0,424.0,2160.0,0.0,0.0,0.0,0.0,8.0,0.0,67.0,7347.0,0
BG,2016,240.0,152.0,0.0,14.0,156.0,0.0,6973.0,5.0,253.0,0.0,768.0,13.0,898.0,1941.0,0.0,373.0,0.0,0.0,7.0,12.0,28.0,8639.0,0
BG,2017,83.0,866.0,0.0,15.0,203.0,0.0,6430.0,6.0,845.0,0.003325,766.0,40.0,1336.0,3760.0,0.0,212.0,15.0,0.0,0.0,0.0,63.0,8531.0,0
BG,2018,271.0,140.0,0.0,11.0,244.0,0.0,2646.0,6.0,547.0,0.01084285,1031.0,0.0,1603.0,3204.0,0.0,969.0,123.0,6.0,4.0,2.0,36.0,5280.0,0
BG,2019,323.0,111.0,0.0,9.0,247.0,0.0,8071.0,5.0,87.0,0.00945,1679.0,8.0,1321.0,3128.0,0.0,187.0,148.0,6.0,0.0,4.0,22.0,11072.0,0
BG,2020,540.0,105.0,0.0,0.0,145.0,0.0,8978.0,25.0,136.0,0.0124905,1359.0,14.0,1336.0,2294.0,0.0,151.0,254.0,0.0,0.0,0.0,26.0,11674.0,0
