operator,procstat,geo,TIME_PERIOD,OBS_VALUE
EXP,REG_END,AL,2021,26.0
EXP,REG_END,AL,2022,26.0
EXP,REG_END,AT,2014,9.0
EXP,REG_END,AT,2015,10.0
EXP,REG_END,AT,2016,10.0
EXP,REG_END,AT,2017,14.0
EXP,REG_END,AT,2018,4.0
EXP,REG_END,AT,2019,4.0
EXP,REG_END,AT,2020,0.0
EXP,REG_END,AT,2021,5.0
EXP,REG_END,AT,2022,5.0
EXP,REG_END,BE,2013,0.0
EXP,REG_END,BE,2014,0.0
EXP,REG_END,BE,2015,37.0
EXP,REG_END,BE,2016,84.0
EXP,REG_END,BE,2017,108.0
EXP,REG_END,BE,2018,107.0
EXP,REG_END,BE,2019,153.0
EXP,REG_END,BE,2022,0.0
EXP,REG_END,BG,2012,14.0
EXP,REG_END,BG,2013,10.0
EXP,REG_END,BG,2014,12.0
EXP,REG_END,BG,2015,9.0
EXP,REG_END,BG,2016,9.0
EXP,REG_END,BG,2018,4.0
EXP,REG_END,BG,2019,2.0
EXP,REG_END,BG,2021,5.0
EXP,REG_END,BG,2022,5.0
EXP,REG_END,CH,2022,0.0
EXP,REG_END,CY,2012,0.0
EXP,REG_END,CY,2013,0.0
EXP,REG_END,CY,2014,4.0
EXP,REG_END,CY,2015,3.0
EXP,REG_END,CY,2016,4.0
EXP,REG_END,CY,2017,2.0
EXP,REG_END,CY,2018,1.0
EXP,REG_END,CY,2019,0.0
EXP,REG_END,CY,2020,0.0
EXP,REG_END,CY,2021,0.0
EXP,REG_END,CY,2022,4.0
EXP,REG_END,CZ,2012,36.0
EXP,REG_END,CZ,2013,42.0
EXP,REG_END,CZ,2014,54.0
EXP,REG_END,CZ,2015,70.0
EXP,REG_END,CZ,2016,96.0
EXP,REG_END,CZ,2017,141.0
EXP,REG_END,CZ,2018,165.0
EXP,REG_END,CZ,2019,163.0
EXP,REG_END,CZ,2020,159.0
EXP,REG_END,CZ,2021,163.0
EXP,REG_END,CZ,2022,163.0
EXP,REG_END,DE,2014,439.0
EXP,REG_END,DE,2015,775.0
EXP,REG_END,DE,2016,787.0
EXP,REG_END,DE,2017,1242.0
EXP,REG_END,DE,2018,1208.0
EXP,REG_END,DE,2019,1288.0
EXP,REG_END,DE,2020,1349.0
EXP,REG_END,DE,2021,1456.0
