geo,TIME_PERIOD,procstat,EXP,IMP,PRC,PRD_AGRI
AL,2021,REG_END,26.0,4.0,62.0,130.0
AT,2012,REG_END,0.0,0.0,0.0,21843.0
AT,2013,REG_END,0.0,14.0,2393.0,21863.0
AT,2014,REG_END,9.0,23.0,2118.0,22184.0
AT,2015,REG_END,10.0,55.0,1617.0,23070.0
AT,2016,REG_END,10.0,57.0,1683.0,24213.0
AT,2017,REG_END,14.0,66.0,1650.0,24998.0
AT,2017,REG_NEW,7.0,20.0,162.0,1176.0
AT,2017,REG_WDN,3.0,11.0,195.0,391.0
AT,2018,REG_END,4.0,62.0,1651.0,25795.0
AT,2018,REG_NEW,0.0,14.0,138.0,1321.0
AT,2018,REG_WDN,10.0,18.0,137.0,524.0
AT,2019,REG_END,4.0,58.0,1691.0,26042.0
AT,2019,REG_NEW,0.0,7.0,144.0,644.0
AT,2019,REG_WDN,0.0,11.0,104.0,397.0
AT,2020,REG_END,0.0,71.0,1673.0,26407.0
AT,2020,REG_NEW,0.0,18.0,201.0,3165.0
AT,2020,REG_WDN,4.0,5.0,219.0,2800.0
AT,2021,REG_END,5.0,84.0,1925.0,26720.0
BE,2012,REG_END,0.0,122.0,767.0,1435.0
BE,2013,REG_END,0.0,58.0,861.0,1656.0
BE,2014,REG_END,0.0,141.0,891.0,1602.0
BE,2015,REG_END,37.0,164.0,1014.0,1733.0
BE,2016,REG_END,84.0,183.0,1116.0,1946.0
BE,2017,REG_END,108.0,235.0,1227.0,2105.0
BE,2018,REG_END,107.0,279.0,1403.0,2264.0
BE,2019,REG_END,153.0,304.0,1585.0,2394.0
BG,2012,REG_END,14.0,1.0,81.0,2754.0
BG,2013,REG_END,10.0,3.0,92.0,3854.0
BG,2013,REG_NEW,0.0,2.0,27.0,1665.0
BG,2013,REG_WDN,4.0,0.0,16.0,565.0
BG,2014,REG_END,12.0,3.0,132.0,3893.0
BG,2014,REG_NEW,2.0,1.0,59.0,923.0
BG,2014,REG_WDN,0.0,1.0,19.0,884.0
BG,2015,REG_END,9.0,8.0,161.0,5919.0
BG,2015,REG_NEW,3.0,11.0,80.0,3149.0
BG,2015,REG_WDN,6.0,6.0,51.0,1123.0
BG,2016,REG_END,9.0,13.0,175.0,6964.0
BG,2016,REG_NEW,0.0,7.0,43.0,2011.0
BG,2016,REG_WDN,0.0,2.0,29.0,966.0
BG,2018,REG_END,4.0,26.0,234.0,6213.0
BG,2018,REG_NEW,1.0,5.0,87.0,899.0
BG,2018,REG_WDN,3.0,9.0,34.0,1157.0
BG,2019,REG_END,2.0,22.0,249.0,5942.0
BG,2019,REG_NEW,1.0,2.0,36.0,150.0
BG,2019,REG_WDN,3.0,6.0,21.0,421.0
BG,2021,REG_END,5.0,43.0,286.0,4352.0
CH,2013,REG_END,0.0,0.0,0.0,6047.0
CH,2014,REG_END,0.0,0.0,0.0,6195.0
CH,2015,REG_END,0.0,0.0,0.0,6298.0
CH,2016,REG_END,0.0,0.0,0.0,6410.0
CH,2017,REG_END,0.0,0.0,0.0,6705.0
CH,2018,REG_END,0.0,0.0,0.0,7032.0
CH,2019,REG_END,0.0,0.0,0.0,7284.0
CH,2020,REG_END,0.0,0.0,0.0,7561.0
CH,2021,REG_END,0.0,0.0,0.0,7670.0
CY,2012,REG_END,0.0,3.0,53.0,719.0
CY,2013,REG_END,0.0,3.0,66.0,746.0
CY,2014,REG_END,4.0,4.0,51.0,743.0
CY,2015,REG_END,3.0,3.0,60.0,1032.0
CY,2016,REG_END,4.0,4.0,57.0,1174.0
CY,2017,REG_END,2.0,15.0,64.0,1175.0
CY,2018,REG_END,1.0,19.0,57.0,1249.0
CY,2019,REG_END,0.0,14.0,61.0,1252.0
CY,2020,REG_END,0.0,16.0,70.0,1223.0
CY,2021,REG_END,0.0,28.0,70.0,1292.0
CZ,2012,REG_END,36.0,78.0,448.0,3907.0
CZ,2013,REG_END,42.0,89.0,471.0,3910.0
CZ,2013,REG_NEW,7.0,18.0,63.0,106.0
CZ,2013,REG_WDN,1.0,7.0,40.0,103.0
CZ,2014,REG_END,54.0,110.0,506.0,3866.0
CZ,2014,REG_NEW,20.0,32.0,72.0,91.0
CZ,2014,REG_WDN,8.0,11.0,37.0,135.0
CZ,2015,REG_END,70.0,139.0,558.0,4121.0
CZ,2016,REG_END,96.0,190.0,616.0,4271.0
CZ,2016,REG_NEW,31.0,64.0,103.0,468.0
CZ,2016,REG_WDN,5.0,13.0,45.0,318.0
CZ,2017,REG_END,141.0,250.0,655.0,4426.0
CZ,2018,REG_END,165.0,303.0,724.0,4601.0
CZ,2019,REG_END,163.0,311.0,802.0,4694.0
CZ,2019,REG_NEW,20.0,41.0,0.0,195.0
CZ,2019,REG_WDN,22.0,33.0,0.0,102.0
CZ,2020,REG_END,159.0,324.0,852.0,4669.0
CZ,2020,REG_NEW,13.0,45.0,163.0,190.0
CZ,2020,REG_WDN,17.0,32.0,113.0,215.0
CZ,2021,REG_END,163.0,359.0,930.0,4797.0
DE,2012,REG_END,0.0,308.0,9183.0,23032.0
